Date,Close,Search_Interest
2025-11-04,444.260009765625,20.0
2025-11-05,462.07000732421875,20.0
2025-11-06,445.9100036621094,20.0
2025-11-07,429.5199890136719,20.0
2025-11-10,445.2300109863281,18.0
2025-11-11,439.6199951171875,18.0
2025-11-12,430.6000061035156,18.0
2025-11-13,401.989990234375,18.0
2025-11-14,404.3500061035156,18.0
2025-11-17,408.9200134277344,18.0
2025-11-18,401.25,18.0
2025-11-19,403.989990234375,18.0
2025-11-20,395.2300109863281,18.0
2025-11-21,391.0899963378906,18.0
2025-11-24,417.7799987792969,14.0
2025-11-25,419.3999938964844,14.0
2025-11-26,426.5799865722656,14.0
2025-11-28,430.1700134277344,14.0
2025-12-01,430.1400146484375,16.0
2025-12-02,429.239990234375,16.0
2025-12-03,446.739990234375,16.0
2025-12-04,454.5299987792969,16.0
2025-12-05,455.0,16.0
2025-12-08,439.5799865722656,14.0
2025-12-09,445.1700134277344,14.0
2025-12-10,451.45001220703125,14.0
2025-12-11,446.8900146484375,14.0
2025-12-12,458.9599914550781,14.0
2025-12-15,475.30999755859375,18.0
2025-12-16,489.8800048828125,18.0
2025-12-17,467.260009765625,18.0
2025-12-18,483.3699951171875,18.0
2025-12-19,481.20001220703125,18.0
2025-12-22,488.7300109863281,13.0
2025-12-23,485.55999755859375,13.0
2025-12-24,485.3999938964844,13.0
2025-12-26,475.19000244140625,13.0
2025-12-29,459.6400146484375,10.0
2025-12-30,454.42999267578125,10.0
2025-12-31,449.7200012207031,10.0
2026-01-02,438.07000732421875,10.0
2026-01-05,451.6700134277344,10.0
2026-01-06,432.9599914550781,10.0
2026-01-07,431.4100036621094,10.0
2026-01-08,435.79998779296875,10.0
2026-01-09,445.010009765625,10.0
